page_title,original_title,page_url,section_name,section_link
"Microgravity Induces Pelvic Bone Loss through Osteoclastic Activity, Osteocytic Osteolysis, and Osteoblastic Cell Cycle Inhibition by CDKN1a/p21",,https://www.ncbi.nlm.nih.gov/pmc/articles/PMC3630201/,Conclusions,
"Microgravity Induces Pelvic Bone Loss through Osteoclastic Activity, Osteocytic Osteolysis, and Osteoblastic Cell Cycle Inhibition by CDKN1a/p21",,https://www.ncbi.nlm.nih.gov/pmc/articles/PMC3630201/,References,
Microgravity and Cellular Biology: Insights into Cellular Responses and Implications for Human Health,,https://www.ncbi.nlm.nih.gov/pmc/articles/PMC11988870/,Abstract,
Microgravity and Cellular Biology: Insights into Cellular Responses and Implications for Human Health,,https://www.ncbi.nlm.nih.gov/pmc/articles/PMC11988870/,Introduction,
Microgravity and Cellular Biology: Insights into Cellular Responses and Implications for Human Health,,https://www.ncbi.nlm.nih.gov/pmc/articles/PMC11988870/,Materials and Methods,
Microgravity and Cellular Biology: Insights into Cellular Responses and Implications for Human Health,,https://www.ncbi.nlm.nih.gov/pmc/articles/PMC11988870/,Discussion,
Microgravity and Cellular Biology: Insights into Cellular Responses and Implications for Human Health,,https://www.ncbi.nlm.nih.gov/pmc/articles/PMC11988870/,Conclusions,
Microgravity and Cellular Biology: Insights into Cellular Responses and Implications for Human Health,,https://www.ncbi.nlm.nih.gov/pmc/articles/PMC11988870/,References,
Selective Proliferation of Highly Functional Adipose-Derived Stem Cells in Microgravity Culture with Stirred Microspheres,,https://www.ncbi.nlm.nih.gov/pmc/articles/PMC7998608/,Abstract,
Selective Proliferation of Highly Functional Adipose-Derived Stem Cells in Microgravity Culture with Stirred Microspheres,,https://www.ncbi.nlm.nih.gov/pmc/articles/PMC7998608/,Introduction,
Selective Proliferation of Highly Functional Adipose-Derived Stem Cells in Microgravity Culture with Stirred Microspheres,,https://www.ncbi.nlm.nih.gov/pmc/articles/PMC7998608/,Materials and Methods,
Selective Proliferation of Highly Functional Adipose-Derived Stem Cells in Microgravity Culture with Stirred Microspheres,,https://www.ncbi.nlm.nih.gov/pmc/articles/PMC7998608/,Results,
Selective Proliferation of Highly Functional Adipose-Derived Stem Cells in Microgravity Culture with Stirred Microspheres,,https://www.ncbi.nlm.nih.gov/pmc/articles/PMC7998608/,Discussion,
Selective Proliferation of Highly Functional Adipose-Derived Stem Cells in Microgravity Culture with Stirred Microspheres,,https://www.ncbi.nlm.nih.gov/pmc/articles/PMC7998608/,Conclusions,
Selective Proliferation of Highly Functional Adipose-Derived Stem Cells in Microgravity Culture with Stirred Microspheres,,https://www.ncbi.nlm.nih.gov/pmc/articles/PMC7998608/,References,
Microgravity validation of a novel system for RNA isolation and multiplex quantitative real time PCR analysis of gene expression on the International Space Station,,https://www.ncbi.nlm.nih.gov/pmc/articles/PMC5587110/,Abstract,
Microgravity validation of a novel system for RNA isolation and multiplex quantitative real time PCR analysis of gene expression on the International Space Station,,https://www.ncbi.nlm.nih.gov/pmc/articles/PMC5587110/,Introduction,
Microgravity validation of a novel system for RNA isolation and multiplex quantitative real time PCR analysis of gene expression on the International Space Station,,https://www.ncbi.nlm.nih.gov/pmc/articles/PMC5587110/,Materials and Methods,
Microgravity validation of a novel system for RNA isolation and multiplex quantitative real time PCR analysis of gene expression on the International Space Station,,https://www.ncbi.nlm.nih.gov/pmc/articles/PMC5587110/,Results,
Microgravity validation of a novel system for RNA isolation and multiplex quantitative real time PCR analysis of gene expression on the International Space Station,,https://www.ncbi.nlm.nih.gov/pmc/articles/PMC5587110/,Discussion,
Microgravity validation of a novel system for RNA isolation and multiplex quantitative real time PCR analysis of gene expression on the International Space Station,,https://www.ncbi.nlm.nih.gov/pmc/articles/PMC5587110/,Acknowledgments,
Microgravity validation of a novel system for RNA isolation and multiplex quantitative real time PCR analysis of gene expression on the International Space Station,,https://www.ncbi.nlm.nih.gov/pmc/articles/PMC5587110/,References,
Spaceflight Modulates the Expression of Key Oxidative Stress and Cell Cycle Related Genes in Heart,,https://www.ncbi.nlm.nih.gov/pmc/articles/PMC8396460/,Abstract,
Spaceflight Modulates the Expression of Key Oxidative Stress and Cell Cycle Related Genes in Heart,,https://www.ncbi.nlm.nih.gov/pmc/articles/PMC8396460/,Introduction,
Spaceflight Modulates the Expression of Key Oxidative Stress and Cell Cycle Related Genes in Heart,,https://www.ncbi.nlm.nih.gov/pmc/articles/PMC8396460/,Materials and Methods,
Spaceflight Modulates the Expression of Key Oxidative Stress and Cell Cycle Related Genes in Heart,,https://www.ncbi.nlm.nih.gov/pmc/articles/PMC8396460/,Results,
Spaceflight Modulates the Expression of Key Oxidative Stress and Cell Cycle Related Genes in Heart,,https://www.ncbi.nlm.nih.gov/pmc/articles/PMC8396460/,Discussion,
Spaceflight Modulates the Expression of Key Oxidative Stress and Cell Cycle Related Genes in Heart,,https://www.ncbi.nlm.nih.gov/pmc/articles/PMC8396460/,Conclusions,
Spaceflight Modulates the Expression of Key Oxidative Stress and Cell Cycle Related Genes in Heart,,https://www.ncbi.nlm.nih.gov/pmc/articles/PMC8396460/,Acknowledgments,
Spaceflight Modulates the Expression of Key Oxidative Stress and Cell Cycle Related Genes in Heart,,https://www.ncbi.nlm.nih.gov/pmc/articles/PMC8396460/,References,
Dose- and Ion-Dependent Effects in the Oxidative Stress Response to Space-Like Radiation Exposure in the Skeletal System,,https://www.ncbi.nlm.nih.gov/pmc/articles/PMC5666799/,Abstract,
Dose- and Ion-Dependent Effects in the Oxidative Stress Response to Space-Like Radiation Exposure in the Skeletal System,,https://www.ncbi.nlm.nih.gov/pmc/articles/PMC5666799/,Introduction,
Dose- and Ion-Dependent Effects in the Oxidative Stress Response to Space-Like Radiation Exposure in the Skeletal System,,https://www.ncbi.nlm.nih.gov/pmc/articles/PMC5666799/,Materials and Methods,
Dose- and Ion-Dependent Effects in the Oxidative Stress Response to Space-Like Radiation Exposure in the Skeletal System,,https://www.ncbi.nlm.nih.gov/pmc/articles/PMC5666799/,Results,
Dose- and Ion-Dependent Effects in the Oxidative Stress Response to Space-Like Radiation Exposure in the Skeletal System,,https://www.ncbi.nlm.nih.gov/pmc/articles/PMC5666799/,Discussion,
Dose- and Ion-Dependent Effects in the Oxidative Stress Response to Space-Like Radiation Exposure in the Skeletal System,,https://www.ncbi.nlm.nih.gov/pmc/articles/PMC5666799/,Acknowledgments,
Dose- and Ion-Dependent Effects in the Oxidative Stress Response to Space-Like Radiation Exposure in the Skeletal System,,https://www.ncbi.nlm.nih.gov/pmc/articles/PMC5666799/,References,
From the bench to exploration medicine: NASA life sciences translational research for human exploration and habitation missions,,https://www.ncbi.nlm.nih.gov/pmc/articles/PMC5460236/,Abstract,
From the bench to exploration medicine: NASA life sciences translational research for human exploration and habitation missions,,https://www.ncbi.nlm.nih.gov/pmc/articles/PMC5460236/,Introduction,
From the bench to exploration medicine: NASA life sciences translational research for human exploration and habitation missions,,https://www.ncbi.nlm.nih.gov/pmc/articles/PMC5460236/,References,
High-precision method for cyclic loading of small-animal vertebrae to assess bone quality,,https://www.ncbi.nlm.nih.gov/pmc/articles/PMC6222041/,Abstract,
High-precision method for cyclic loading of small-animal vertebrae to assess bone quality,,https://www.ncbi.nlm.nih.gov/pmc/articles/PMC6222041/,Introduction,
High-precision method for cyclic loading of small-animal vertebrae to assess bone quality,,https://www.ncbi.nlm.nih.gov/pmc/articles/PMC6222041/,Materials and Methods,
High-precision method for cyclic loading of small-animal vertebrae to assess bone quality,,https://www.ncbi.nlm.nih.gov/pmc/articles/PMC6222041/,Results,
High-precision method for cyclic loading of small-animal vertebrae to assess bone quality,,https://www.ncbi.nlm.nih.gov/pmc/articles/PMC6222041/,Discussion,
High-precision method for cyclic loading of small-animal vertebrae to assess bone quality,,https://www.ncbi.nlm.nih.gov/pmc/articles/PMC6222041/,Acknowledgments,
High-precision method for cyclic loading of small-animal vertebrae to assess bone quality,,https://www.ncbi.nlm.nih.gov/pmc/articles/PMC6222041/,References,
Effects of ex vivo Ionizing Radiation on Collagen Structure and Whole-Bone Mechanical Properties of Mouse Vertebrae,,https://www.ncbi.nlm.nih.gov/pmc/articles/PMC6813909/,Abstract,
Effects of ex vivo Ionizing Radiation on Collagen Structure and Whole-Bone Mechanical Properties of Mouse Vertebrae,,https://www.ncbi.nlm.nih.gov/pmc/articles/PMC6813909/,Introduction,
Effects of ex vivo Ionizing Radiation on Collagen Structure and Whole-Bone Mechanical Properties of Mouse Vertebrae,,https://www.ncbi.nlm.nih.gov/pmc/articles/PMC6813909/,Materials and Methods,
Effects of ex vivo Ionizing Radiation on Collagen Structure and Whole-Bone Mechanical Properties of Mouse Vertebrae,,https://www.ncbi.nlm.nih.gov/pmc/articles/PMC6813909/,Results,
Effects of ex vivo Ionizing Radiation on Collagen Structure and Whole-Bone Mechanical Properties of Mouse Vertebrae,,https://www.ncbi.nlm.nih.gov/pmc/articles/PMC6813909/,Discussion,
Effects of ex vivo Ionizing Radiation on Collagen Structure and Whole-Bone Mechanical Properties of Mouse Vertebrae,,https://www.ncbi.nlm.nih.gov/pmc/articles/PMC6813909/,References,
Absence of γ-sarcoglycan alters the response of p70S6 kinase to mechanical perturbation in murine skeletal muscle,,https://www.ncbi.nlm.nih.gov/pmc/articles/PMC4095884/,Abstract,
Absence of γ-sarcoglycan alters the response of p70S6 kinase to mechanical perturbation in murine skeletal muscle,,https://www.ncbi.nlm.nih.gov/pmc/articles/PMC4095884/,Results,
Absence of γ-sarcoglycan alters the response of p70S6 kinase to mechanical perturbation in murine skeletal muscle,,https://www.ncbi.nlm.nih.gov/pmc/articles/PMC4095884/,Discussion,
Absence of γ-sarcoglycan alters the response of p70S6 kinase to mechanical perturbation in murine skeletal muscle,,https://www.ncbi.nlm.nih.gov/pmc/articles/PMC4095884/,Conclusions,
Absence of γ-sarcoglycan alters the response of p70S6 kinase to mechanical perturbation in murine skeletal muscle,,https://www.ncbi.nlm.nih.gov/pmc/articles/PMC4095884/,References,
5AtRabD2b and AtRabD2c have overlapping functions in pollen development and pollen tube growth,,https://www.ncbi.nlm.nih.gov/pmc/articles/PMC3040128/,Abstract,
5AtRabD2b and AtRabD2c have overlapping functions in pollen development and pollen tube growth,,https://www.ncbi.nlm.nih.gov/pmc/articles/PMC3040128/,Results,
5AtRabD2b and AtRabD2c have overlapping functions in pollen development and pollen tube growth,,https://www.ncbi.nlm.nih.gov/pmc/articles/PMC3040128/,Discussion,
5AtRabD2b and AtRabD2c have overlapping functions in pollen development and pollen tube growth,,https://www.ncbi.nlm.nih.gov/pmc/articles/PMC3040128/,Conclusions,
5AtRabD2b and AtRabD2c have overlapping functions in pollen development and pollen tube growth,,https://www.ncbi.nlm.nih.gov/pmc/articles/PMC3040128/,References,
"TNO1 Is Involved in Salt Tolerance and Vacuolar Trafficking in Arabidopsis1,[W],[OA]",,https://www.ncbi.nlm.nih.gov/pmc/articles/PMC3177255/,Abstract,
"TNO1 Is Involved in Salt Tolerance and Vacuolar Trafficking in Arabidopsis1,[W],[OA]",,https://www.ncbi.nlm.nih.gov/pmc/articles/PMC3177255/,Materials and Methods,
"TNO1 Is Involved in Salt Tolerance and Vacuolar Trafficking in Arabidopsis1,[W],[OA]",,https://www.ncbi.nlm.nih.gov/pmc/articles/PMC3177255/,Results,
"TNO1 Is Involved in Salt Tolerance and Vacuolar Trafficking in Arabidopsis1,[W],[OA]",,https://www.ncbi.nlm.nih.gov/pmc/articles/PMC3177255/,Discussion,
"TNO1 Is Involved in Salt Tolerance and Vacuolar Trafficking in Arabidopsis1,[W],[OA]",,https://www.ncbi.nlm.nih.gov/pmc/articles/PMC3177255/,Acknowledgments,
"TNO1 Is Involved in Salt Tolerance and Vacuolar Trafficking in Arabidopsis1,[W],[OA]",,https://www.ncbi.nlm.nih.gov/pmc/articles/PMC3177255/,References,
Identification of a novel Golgi-localized putative glycosyltransferase protein in Arabidopsis thaliana,,https://www.ncbi.nlm.nih.gov/pmc/articles/PMC11500582/,Abstract,
Identification of a novel Golgi-localized putative glycosyltransferase protein in Arabidopsis thaliana,,https://www.ncbi.nlm.nih.gov/pmc/articles/PMC11500582/,Introduction,
Identification of a novel Golgi-localized putative glycosyltransferase protein in Arabidopsis thaliana,,https://www.ncbi.nlm.nih.gov/pmc/articles/PMC11500582/,Materials and Methods,
Identification of a novel Golgi-localized putative glycosyltransferase protein in Arabidopsis thaliana,,https://www.ncbi.nlm.nih.gov/pmc/articles/PMC11500582/,Results,
Identification of a novel Golgi-localized putative glycosyltransferase protein in Arabidopsis thaliana,,https://www.ncbi.nlm.nih.gov/pmc/articles/PMC11500582/,Discussion,
Identification of a novel Golgi-localized putative glycosyltransferase protein in Arabidopsis thaliana,,https://www.ncbi.nlm.nih.gov/pmc/articles/PMC11500582/,Acknowledgments,
Identification of a novel Golgi-localized putative glycosyltransferase protein in Arabidopsis thaliana,,https://www.ncbi.nlm.nih.gov/pmc/articles/PMC11500582/,References,
"TNO1, a TGN-localized SNARE-interacting protein, modulates root skewing in Arabidopsis thaliana",,https://www.ncbi.nlm.nih.gov/pmc/articles/PMC5387210/,Abstract,
"TNO1, a TGN-localized SNARE-interacting protein, modulates root skewing in Arabidopsis thaliana",,https://www.ncbi.nlm.nih.gov/pmc/articles/PMC5387210/,Results,
"TNO1, a TGN-localized SNARE-interacting protein, modulates root skewing in Arabidopsis thaliana",,https://www.ncbi.nlm.nih.gov/pmc/articles/PMC5387210/,Discussion,
"TNO1, a TGN-localized SNARE-interacting protein, modulates root skewing in Arabidopsis thaliana",,https://www.ncbi.nlm.nih.gov/pmc/articles/PMC5387210/,Conclusions,
"TNO1, a TGN-localized SNARE-interacting protein, modulates root skewing in Arabidopsis thaliana",,https://www.ncbi.nlm.nih.gov/pmc/articles/PMC5387210/,References,
Gravitropism and Lateral Root Emergence are Dependent on the Trans-Golgi Network Protein TNO1,,https://www.ncbi.nlm.nih.gov/pmc/articles/PMC4642138/,Abstract,
Gravitropism and Lateral Root Emergence are Dependent on the Trans-Golgi Network Protein TNO1,,https://www.ncbi.nlm.nih.gov/pmc/articles/PMC4642138/,Introduction,
Gravitropism and Lateral Root Emergence are Dependent on the Trans-Golgi Network Protein TNO1,,https://www.ncbi.nlm.nih.gov/pmc/articles/PMC4642138/,Materials and Methods,
Gravitropism and Lateral Root Emergence are Dependent on the Trans-Golgi Network Protein TNO1,,https://www.ncbi.nlm.nih.gov/pmc/articles/PMC4642138/,Results,
Gravitropism and Lateral Root Emergence are Dependent on the Trans-Golgi Network Protein TNO1,,https://www.ncbi.nlm.nih.gov/pmc/articles/PMC4642138/,Discussion,
Gravitropism and Lateral Root Emergence are Dependent on the Trans-Golgi Network Protein TNO1,,https://www.ncbi.nlm.nih.gov/pmc/articles/PMC4642138/,Acknowledgments,
Gravitropism and Lateral Root Emergence are Dependent on the Trans-Golgi Network Protein TNO1,,https://www.ncbi.nlm.nih.gov/pmc/articles/PMC4642138/,References,
"TNO1, a TGN-localized SNARE-interacting protein, modulates root skewing in Arabidopsis thaliana",,https://www.ncbi.nlm.nih.gov/pmc/articles/PMC5387210/,Abstract,
"TNO1, a TGN-localized SNARE-interacting protein, modulates root skewing in Arabidopsis thaliana",,https://www.ncbi.nlm.nih.gov/pmc/articles/PMC5387210/,Results,
"TNO1, a TGN-localized SNARE-interacting protein, modulates root skewing in Arabidopsis thaliana",,https://www.ncbi.nlm.nih.gov/pmc/articles/PMC5387210/,Discussion,
"TNO1, a TGN-localized SNARE-interacting protein, modulates root skewing in Arabidopsis thaliana",,https://www.ncbi.nlm.nih.gov/pmc/articles/PMC5387210/,Conclusions,
"TNO1, a TGN-localized SNARE-interacting protein, modulates root skewing in Arabidopsis thaliana",,https://www.ncbi.nlm.nih.gov/pmc/articles/PMC5387210/,References,
The Drosophila SUN protein Spag4 cooperates with the coiled-coil protein Yuri Gagarin to maintain association of the basal body and spermatid nucleus,,https://www.ncbi.nlm.nih.gov/pmc/articles/PMC2915878/,Abstract,
The Drosophila SUN protein Spag4 cooperates with the coiled-coil protein Yuri Gagarin to maintain association of the basal body and spermatid nucleus,,https://www.ncbi.nlm.nih.gov/pmc/articles/PMC2915878/,Introduction,
The Drosophila SUN protein Spag4 cooperates with the coiled-coil protein Yuri Gagarin to maintain association of the basal body and spermatid nucleus,,https://www.ncbi.nlm.nih.gov/pmc/articles/PMC2915878/,Materials and Methods,
The Drosophila SUN protein Spag4 cooperates with the coiled-coil protein Yuri Gagarin to maintain association of the basal body and spermatid nucleus,,https://www.ncbi.nlm.nih.gov/pmc/articles/PMC2915878/,Results,
The Drosophila SUN protein Spag4 cooperates with the coiled-coil protein Yuri Gagarin to maintain association of the basal body and spermatid nucleus,,https://www.ncbi.nlm.nih.gov/pmc/articles/PMC2915878/,Discussion,
The Drosophila SUN protein Spag4 cooperates with the coiled-coil protein Yuri Gagarin to maintain association of the basal body and spermatid nucleus,,https://www.ncbi.nlm.nih.gov/pmc/articles/PMC2915878/,Acknowledgments,
The Drosophila SUN protein Spag4 cooperates with the coiled-coil protein Yuri Gagarin to maintain association of the basal body and spermatid nucleus,,https://www.ncbi.nlm.nih.gov/pmc/articles/PMC2915878/,References,
Toll Mediated Infection Response Is Altered by Gravity and Spaceflight in Drosophila,,https://www.ncbi.nlm.nih.gov/pmc/articles/PMC3901686/,Abstract,
Toll Mediated Infection Response Is Altered by Gravity and Spaceflight in Drosophila,,https://www.ncbi.nlm.nih.gov/pmc/articles/PMC3901686/,Introduction,
Toll Mediated Infection Response Is Altered by Gravity and Spaceflight in Drosophila,,https://www.ncbi.nlm.nih.gov/pmc/articles/PMC3901686/,Materials and Methods,
Toll Mediated Infection Response Is Altered by Gravity and Spaceflight in Drosophila,,https://www.ncbi.nlm.nih.gov/pmc/articles/PMC3901686/,Results,
Toll Mediated Infection Response Is Altered by Gravity and Spaceflight in Drosophila,,https://www.ncbi.nlm.nih.gov/pmc/articles/PMC3901686/,Discussion,
Toll Mediated Infection Response Is Altered by Gravity and Spaceflight in Drosophila,,https://www.ncbi.nlm.nih.gov/pmc/articles/PMC3901686/,Acknowledgments,
Toll Mediated Infection Response Is Altered by Gravity and Spaceflight in Drosophila,,https://www.ncbi.nlm.nih.gov/pmc/articles/PMC3901686/,References,
GeneLab Database Analyses Suggest Long-Term Impact of Space Radiation on the Cardiovascular System by the Activation of FYN Through Reactive Oxygen Species,,https://www.ncbi.nlm.nih.gov/pmc/articles/PMC6387434/,Abstract,
GeneLab Database Analyses Suggest Long-Term Impact of Space Radiation on the Cardiovascular System by the Activation of FYN Through Reactive Oxygen Species,,https://www.ncbi.nlm.nih.gov/pmc/articles/PMC6387434/,Introduction,
GeneLab Database Analyses Suggest Long-Term Impact of Space Radiation on the Cardiovascular System by the Activation of FYN Through Reactive Oxygen Species,,https://www.ncbi.nlm.nih.gov/pmc/articles/PMC6387434/,Materials and Methods,
GeneLab Database Analyses Suggest Long-Term Impact of Space Radiation on the Cardiovascular System by the Activation of FYN Through Reactive Oxygen Species,,https://www.ncbi.nlm.nih.gov/pmc/articles/PMC6387434/,Results,
GeneLab Database Analyses Suggest Long-Term Impact of Space Radiation on the Cardiovascular System by the Activation of FYN Through Reactive Oxygen Species,,https://www.ncbi.nlm.nih.gov/pmc/articles/PMC6387434/,Discussion,
GeneLab Database Analyses Suggest Long-Term Impact of Space Radiation on the Cardiovascular System by the Activation of FYN Through Reactive Oxygen Species,,https://www.ncbi.nlm.nih.gov/pmc/articles/PMC6387434/,Acknowledgments,
GeneLab Database Analyses Suggest Long-Term Impact of Space Radiation on the Cardiovascular System by the Activation of FYN Through Reactive Oxygen Species,,https://www.ncbi.nlm.nih.gov/pmc/articles/PMC6387434/,References,
FAIRness and Usability for Open-access Omics Data Systems,,https://www.ncbi.nlm.nih.gov/pmc/articles/PMC6371294/,Abstract,
FAIRness and Usability for Open-access Omics Data Systems,,https://www.ncbi.nlm.nih.gov/pmc/articles/PMC6371294/,Introduction,
FAIRness and Usability for Open-access Omics Data Systems,,https://www.ncbi.nlm.nih.gov/pmc/articles/PMC6371294/,Discussion,
FAIRness and Usability for Open-access Omics Data Systems,,https://www.ncbi.nlm.nih.gov/pmc/articles/PMC6371294/,References,
NASA GeneLab Platform Utilized for Biological Response to Space Radiation in Animal Models,,https://www.ncbi.nlm.nih.gov/pmc/articles/PMC7072278/,Abstract,
NASA GeneLab Platform Utilized for Biological Response to Space Radiation in Animal Models,,https://www.ncbi.nlm.nih.gov/pmc/articles/PMC7072278/,Introduction,
NASA GeneLab Platform Utilized for Biological Response to Space Radiation in Animal Models,,https://www.ncbi.nlm.nih.gov/pmc/articles/PMC7072278/,Materials and Methods,
NASA GeneLab Platform Utilized for Biological Response to Space Radiation in Animal Models,,https://www.ncbi.nlm.nih.gov/pmc/articles/PMC7072278/,Results,
NASA GeneLab Platform Utilized for Biological Response to Space Radiation in Animal Models,,https://www.ncbi.nlm.nih.gov/pmc/articles/PMC7072278/,Discussion,
NASA GeneLab Platform Utilized for Biological Response to Space Radiation in Animal Models,,https://www.ncbi.nlm.nih.gov/pmc/articles/PMC7072278/,Conclusions,
NASA GeneLab Platform Utilized for Biological Response to Space Radiation in Animal Models,,https://www.ncbi.nlm.nih.gov/pmc/articles/PMC7072278/,References,
Circulating miRNA Spaceflight Signature Reveals Targets for Countermeasure Development,,https://www.ncbi.nlm.nih.gov/pmc/articles/PMC8441986/,Abstract,
Circulating miRNA Spaceflight Signature Reveals Targets for Countermeasure Development,,https://www.ncbi.nlm.nih.gov/pmc/articles/PMC8441986/,Introduction,
Circulating miRNA Spaceflight Signature Reveals Targets for Countermeasure Development,,https://www.ncbi.nlm.nih.gov/pmc/articles/PMC8441986/,Results,
Circulating miRNA Spaceflight Signature Reveals Targets for Countermeasure Development,,https://www.ncbi.nlm.nih.gov/pmc/articles/PMC8441986/,Discussion,
Circulating miRNA Spaceflight Signature Reveals Targets for Countermeasure Development,,https://www.ncbi.nlm.nih.gov/pmc/articles/PMC8441986/,Acknowledgments,
Circulating miRNA Spaceflight Signature Reveals Targets for Countermeasure Development,,https://www.ncbi.nlm.nih.gov/pmc/articles/PMC8441986/,References,
Machine learning algorithm to characterize antimicrobial resistance associated with the International Space Station surface microbiome,,https://www.ncbi.nlm.nih.gov/pmc/articles/PMC9400218/,Abstract,
Machine learning algorithm to characterize antimicrobial resistance associated with the International Space Station surface microbiome,,https://www.ncbi.nlm.nih.gov/pmc/articles/PMC9400218/,Results,
Machine learning algorithm to characterize antimicrobial resistance associated with the International Space Station surface microbiome,,https://www.ncbi.nlm.nih.gov/pmc/articles/PMC9400218/,Discussion,
Machine learning algorithm to characterize antimicrobial resistance associated with the International Space Station surface microbiome,,https://www.ncbi.nlm.nih.gov/pmc/articles/PMC9400218/,References,
Extraterrestrial Gynecology: Could Spaceflight Increase the Risk of Developing Cancer in Female Astronauts? An Updated Review,,https://www.ncbi.nlm.nih.gov/pmc/articles/PMC9267413/,Abstract,
Extraterrestrial Gynecology: Could Spaceflight Increase the Risk of Developing Cancer in Female Astronauts? An Updated Review,,https://www.ncbi.nlm.nih.gov/pmc/articles/PMC9267413/,Introduction,
Extraterrestrial Gynecology: Could Spaceflight Increase the Risk of Developing Cancer in Female Astronauts? An Updated Review,,https://www.ncbi.nlm.nih.gov/pmc/articles/PMC9267413/,Conclusions,
Extraterrestrial Gynecology: Could Spaceflight Increase the Risk of Developing Cancer in Female Astronauts? An Updated Review,,https://www.ncbi.nlm.nih.gov/pmc/articles/PMC9267413/,References,
Muscle atrophy phenotype gene expression during spaceflight is linked to a metabolic crosstalk in both the liver and the muscle in mice,,https://www.ncbi.nlm.nih.gov/pmc/articles/PMC9576569/,Introduction,
Muscle atrophy phenotype gene expression during spaceflight is linked to a metabolic crosstalk in both the liver and the muscle in mice,,https://www.ncbi.nlm.nih.gov/pmc/articles/PMC9576569/,Results,
Muscle atrophy phenotype gene expression during spaceflight is linked to a metabolic crosstalk in both the liver and the muscle in mice,,https://www.ncbi.nlm.nih.gov/pmc/articles/PMC9576569/,Discussion,
Muscle atrophy phenotype gene expression during spaceflight is linked to a metabolic crosstalk in both the liver and the muscle in mice,,https://www.ncbi.nlm.nih.gov/pmc/articles/PMC9576569/,Acknowledgments,
Muscle atrophy phenotype gene expression during spaceflight is linked to a metabolic crosstalk in both the liver and the muscle in mice,,https://www.ncbi.nlm.nih.gov/pmc/articles/PMC9576569/,References,
Chromosomal positioning and epigenetic architecture influence DNA methylation patterns triggered by galactic cosmic radiation,,https://www.ncbi.nlm.nih.gov/pmc/articles/PMC10789781/,Abstract,
Chromosomal positioning and epigenetic architecture influence DNA methylation patterns triggered by galactic cosmic radiation,,https://www.ncbi.nlm.nih.gov/pmc/articles/PMC10789781/,Introduction,
Chromosomal positioning and epigenetic architecture influence DNA methylation patterns triggered by galactic cosmic radiation,,https://www.ncbi.nlm.nih.gov/pmc/articles/PMC10789781/,Materials and Methods,
Chromosomal positioning and epigenetic architecture influence DNA methylation patterns triggered by galactic cosmic radiation,,https://www.ncbi.nlm.nih.gov/pmc/articles/PMC10789781/,Results,
Chromosomal positioning and epigenetic architecture influence DNA methylation patterns triggered by galactic cosmic radiation,,https://www.ncbi.nlm.nih.gov/pmc/articles/PMC10789781/,Discussion,
Chromosomal positioning and epigenetic architecture influence DNA methylation patterns triggered by galactic cosmic radiation,,https://www.ncbi.nlm.nih.gov/pmc/articles/PMC10789781/,References,
"A comprehensive SARS-CoV-2 and COVID-19 review, Part 2: host extracellular to systemic effects of SARS-CoV-2 infection",,https://www.ncbi.nlm.nih.gov/pmc/articles/PMC10772081/,Abstract,
"A comprehensive SARS-CoV-2 and COVID-19 review, Part 2: host extracellular to systemic effects of SARS-CoV-2 infection",,https://www.ncbi.nlm.nih.gov/pmc/articles/PMC10772081/,Introduction,
